                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.989,                 1.6597,                 1.7137,                0.55805,                0.46674,                0.48333,                0.19124,                 2.2601,                 1.8437,                 1.9575,             0.00086312,             0.00086312,             0.00086312
                     35,                 1.9903,                 1.6768,                 1.7172,                0.56251,                0.50849,                0.50717,                0.19873,                 2.3111,                 1.7925,                 1.9657,             0.00084543,             0.00084543,             0.00084543
                     36,                 1.9448,                 1.6174,                 1.6945,                 0.5448,                 0.4919,                0.49521,                0.19198,                 2.2912,                 1.8008,                 1.9768,             0.00082775,             0.00082775,             0.00082775
                     37,                 1.9682,                 1.6654,                 1.7389,                0.58086,                0.49156,                0.48974,                0.19691,                 2.2852,                 1.8705,                 1.9656,             0.00081006,             0.00081006,             0.00081006
                     38,                 1.9376,                 1.6388,                 1.7094,                0.57325,                0.46418,                0.48436,                0.18804,                 2.3164,                 1.8152,                 1.9908,             0.00079238,             0.00079238,             0.00079238
                     39,                 1.9159,                 1.5883,                 1.6845,                0.56322,                0.49152,                0.48371,                0.19531,                 2.3125,                 1.7954,                 2.0027,              0.0007747,              0.0007747,              0.0007747
                     40,                 1.9094,                 1.5932,                 1.7053,                0.54328,                0.51137,                0.49848,                0.20142,                 2.2889,                 1.8265,                 2.0071,             0.00075701,             0.00075701,             0.00075701
                     41,                 1.8883,                 1.6153,                 1.6758,                0.59037,                0.49411,                0.50355,                0.19702,                 2.2986,                 1.8237,                  1.976,             0.00073933,             0.00073933,             0.00073933
                     42,                 1.8808,                 1.5759,                  1.663,                0.53597,                0.51772,                0.49865,                0.19946,                 2.2988,                 1.8094,                 2.0076,             0.00072164,             0.00072164,             0.00072164
                     43,                  1.911,                 1.5547,                 1.6605,                0.58968,                0.50006,                0.48913,                0.19882,                 2.2668,                 1.8021,                 1.9692,             0.00070396,             0.00070396,             0.00070396
                     44,                 1.8679,                 1.5629,                 1.6711,                0.59039,                0.49737,                0.49818,                 0.1995,                 2.3108,                 1.7985,                  2.013,             0.00068628,             0.00068628,             0.00068628
                     45,                 1.8659,                 1.5252,                  1.643,                0.53286,                0.49091,                0.47219,                0.17914,                  2.383,                 1.8152,                 2.0605,             0.00066859,             0.00066859,             0.00066859
                     46,                   1.85,                 1.4889,                 1.6322,                0.61224,                0.48074,                0.49275,                0.19175,                 2.3292,                 1.7855,                 2.0069,             0.00065091,             0.00065091,             0.00065091
                     47,                 1.8618,                 1.4572,                 1.6399,                0.62491,                0.50535,                0.51795,                0.19959,                  2.336,                 1.7601,                 2.0207,             0.00063323,             0.00063323,             0.00063323
                     48,                 1.7961,                 1.4268,                 1.6047,                0.62433,                0.50932,                0.52917,                0.20019,                   2.34,                 1.7179,                 2.0497,             0.00061554,             0.00061554,             0.00061554
                     49,                 1.8352,                 1.4232,                 1.6214,                0.55304,                0.50977,                0.49004,                0.19872,                 2.3594,                 1.7538,                 2.0217,             0.00059786,             0.00059786,             0.00059786
                     50,                 1.7815,                 1.4177,                 1.5913,                0.55264,                0.50806,                0.48637,                0.18917,                 2.3653,                 1.8292,                 2.0757,             0.00058017,             0.00058017,             0.00058017
                     51,                 1.7672,                 1.3982,                 1.5949,                0.56613,                0.50511,                0.49883,                0.19727,                 2.3279,                 1.7981,                 2.0361,             0.00056249,             0.00056249,             0.00056249
                     52,                  1.776,                 1.4057,                 1.6051,                0.56041,                0.47228,                0.46186,                0.19021,                 2.3549,                 1.7779,                 2.0508,             0.00054481,             0.00054481,             0.00054481
                     53,                 1.7752,                 1.3654,                 1.5615,                0.55781,                0.49239,                0.48354,                0.18924,                  2.355,                 1.7685,                 2.0659,             0.00052712,             0.00052712,             0.00052712
                     54,                 1.7323,                 1.3406,                 1.5657,                0.58751,                0.49832,                0.48886,                0.19062,                 2.3782,                 1.8107,                  2.101,             0.00050944,             0.00050944,             0.00050944
                     55,                 1.7614,                 1.3588,                 1.5806,                0.57524,                 0.5032,                0.49667,                0.19258,                 2.3664,                  1.799,                 2.0739,             0.00049175,             0.00049175,             0.00049175
                     56,                 1.7148,                  1.322,                 1.5521,                0.58061,                 0.5018,                0.48466,                0.19222,                 2.3921,                 1.7956,                 2.0845,             0.00047407,             0.00047407,             0.00047407
                     57,                 1.6889,                 1.2808,                 1.5344,                0.58138,                0.50167,                0.49385,                0.19661,                 2.4165,                 1.7416,                 2.0996,             0.00045639,             0.00045639,             0.00045639
                     58,                 1.7293,                 1.3129,                 1.5406,                0.55939,                0.50797,                0.49227,                0.19491,                 2.3921,                 1.7364,                 2.0855,              0.0004387,              0.0004387,              0.0004387
